Frequency,FreqOpti,RelCaptTag,SurveyType@Station,MonitoringStatus@Station,Origin,Sex,Locality,DATE,LAT,LON,Name_signal_type
217490,217490,0006F2AD17,Tracking,Monitored,release,female,Lethima,2011-10-20 14:37:00,32.92348,-2.55400,
217490,217490,0006F2AD17,Tracking,Monitored,release,female,Lethima,2011-10-20 14:37:00,32.92348,-2.55400,
219043,219043,0007135D1A,Post-Release,Monitored,release,male,Jorf Naga,2012-02-06 09:05:00,29.59705,-8.31988,
219043,219043,0007135D1A,Post-Release,Monitored,release,male,Jorf Naga,2012-02-06 09:05:00,29.59705,-8.31988,
217774,217774,00071FBEEC,Post-Release,Monitored,release,female,Sehb Laghta,2012-03-29 10:20:00,33.48260,-2.57573,
219623,219622,W-00144,Breeding,Monitored,wild,male,Al Baten,2012-04-18 06:07:00,33.20367,-3.90451,
218799,218799,00071ACDCA,Post-Release,Lost,release,female,Tamlelt,2012-05-04 08:51:00,32.44634,-2.33550,normal
219393,219393,00071B16D1,Post-Release,Monitored,release,male,Sidi Amer,2012-06-04 17:05:00,33.89598,-2.35997,
218935,218935,000702EC6A,Breeding,Monitored,release,female,Sahma,2012-06-14 08:29:00,33.21935,-3.71963,normal
216229,216229,0007138CDA,Tracking,Lost,release,male,Sahma,2012-07-27 10:49:00,33.10315,-3.79238,weak
216229,216229,0007138CDA,Tracking,Lost,release,male,Sahma,2012-07-27 10:49:00,33.10315,-3.79238,normal
218243,218243,0007028304,Tracking,Monitored,release,male,Tayeb,2012-08-29 17:04:00,33.56146,-2.83957,normal
218291,218291,0007136CE3,Tracking,Monitored,release,female,Sahma,2012-09-21 10:56:00,33.14366,-3.62016,normal
218291,218291,0007136CE3,Tracking,Monitored,release,female,Sahma,2012-09-21 10:56:00,33.14366,-3.62016,normal
218291,218291,0007136CE3,Tracking,Monitored,release,female,Sahma,2012-09-21 10:56:00,33.14366,-3.62016,normal
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
219632,219632,00071B1196,Post-Release,Monitored,release,male,ENJ23,2012-10-23 07:00:00,33.18060,-4.63574,
216626,216626,0007026D3B,Post-Release,Monitored,release,female,Hofra,2011-11-03 09:09:00,32.83205,-2.79484,
219661,219661,0007026D8B,Tracking,Monitored,release,male,Ghachwa,2011-12-09 12:05:00,33.12610,-2.52763,
219661,219661,0007026D8B,Tracking,Monitored,release,male,Ghachwa,2011-12-09 12:05:00,33.12610,-2.52763,
218543,218543,00070300FF,Breeding,Monitored,release,female,Lamjalil,2012-02-07 14:00:00,32.91927,-4.00595,
218543,218543,00070300FF,Breeding,Monitored,release,female,Lamjalil,2012-02-07 14:00:00,32.91927,-4.00595,
218543,218543,00070300FF,Breeding,Monitored,release,female,Lamjalil,2012-02-07 14:00:00,32.91927,-4.00595,
218479,218479,000713739C,Post-Release,Monitored,release,male,Mjahma,2012-02-10 10:40:00,29.73993,-6.44825,
219935,219935,00071AF71C,Post-Release,Monitored,release,male,Mengoub,2012-02-22 11:55:00,32.31379,-2.18351,
219935,219935,00071AF71C,Post-Release,Monitored,release,male,Mengoub,2012-02-22 11:55:00,32.31379,-2.18351,
